day,event_date,recommended_factor,recommended_factor_label,score,was_observed_in_full_kg,avg_temperature,precipitation,estimated_uber_trips,total_collisions,top_borough
day/2016-01-01,2016-01-01,factor/driver-inexperience,DRIVER INEXPERIENCE,-3.8289568424224854,False,38.0,0.0,125431.5135135135,393.0,MANHATTAN
day/2016-01-01,2016-01-01,factor/turning-improperly,TURNING IMPROPERLY,-3.8340110778808594,True,38.0,0.0,125431.5135135135,393.0,MANHATTAN
day/2016-01-01,2016-01-01,factor/passenger-distraction,PASSENGER DISTRACTION,-3.839038133621216,False,38.0,0.0,125431.5135135135,393.0,MANHATTAN
day/2016-01-01,2016-01-01,factor/lost-consciousness,LOST CONSCIOUSNESS,-3.940244674682617,True,38.0,0.0,125431.5135135135,393.0,MANHATTAN
day/2016-01-01,2016-01-01,factor/view-obstructed-limited,VIEW OBSTRUCTED/LIMITED,-4.08634090423584,False,38.0,0.0,125431.5135135135,393.0,MANHATTAN
day/2016-01-02,2016-01-02,factor/traffic-control-disregarded,TRAFFIC CONTROL DISREGARDED,-3.720344066619873,True,36.0,0.0,147566.4864864865,422.0,UNKNOWN
day/2016-01-02,2016-01-02,factor/backing-unsafely,BACKING UNSAFELY,-3.8896071910858154,True,36.0,0.0,147566.4864864865,422.0,UNKNOWN
day/2016-01-02,2016-01-02,factor/fatigued-drowsy,FATIGUED/DROWSY,-3.9777917861938477,True,36.0,0.0,147566.4864864865,422.0,UNKNOWN
day/2016-01-02,2016-01-02,factor/physical-disability,PHYSICAL DISABILITY,-3.9795002937316895,True,36.0,0.0,147566.4864864865,422.0,UNKNOWN
day/2016-01-02,2016-01-02,factor/prescription-medication,PRESCRIPTION MEDICATION,-4.045897960662842,True,36.0,0.0,147566.4864864865,422.0,UNKNOWN
day/2016-01-03,2016-01-03,factor/other-vehicular,OTHER VEHICULAR,-3.947413921356201,True,40.0,0.0,129709.20000000001,431.0,MANHATTAN
day/2016-01-03,2016-01-03,factor/driver-inexperience,DRIVER INEXPERIENCE,-3.9718167781829834,False,40.0,0.0,129709.20000000001,431.0,MANHATTAN
day/2016-01-03,2016-01-03,factor/failure-to-yield-right-of-way,FAILURE TO YIELD RIGHT-OF-WAY,-4.063143730163574,True,40.0,0.0,129709.20000000001,431.0,MANHATTAN
day/2016-01-03,2016-01-03,factor/oversized-vehicle,OVERSIZED VEHICLE,-4.128854751586914,False,40.0,0.0,129709.20000000001,431.0,MANHATTAN
day/2016-01-03,2016-01-03,factor/brakes-defective,BRAKES DEFECTIVE,-4.1758503913879395,False,40.0,0.0,129709.20000000001,431.0,MANHATTAN
day/2016-01-04,2016-01-04,factor/passenger-distraction,PASSENGER DISTRACTION,-4.0318379402160645,False,25.0,0.0,103767.35999999999,599.0,STATEN ISLAND
day/2016-01-04,2016-01-04,factor/outside-car-distraction,OUTSIDE CAR DISTRACTION,-4.047270774841309,False,25.0,0.0,103767.35999999999,599.0,STATEN ISLAND
day/2016-01-04,2016-01-04,factor/driver-inexperience,DRIVER INEXPERIENCE,-4.055714130401611,True,25.0,0.0,103767.35999999999,599.0,STATEN ISLAND
day/2016-01-04,2016-01-04,factor/other-vehicular,OTHER VEHICULAR,-4.072755813598633,True,25.0,0.0,103767.35999999999,599.0,STATEN ISLAND
day/2016-01-04,2016-01-04,factor/failure-to-yield-right-of-way,FAILURE TO YIELD RIGHT-OF-WAY,-4.079739570617676,True,25.0,0.0,103767.35999999999,599.0,STATEN ISLAND
day/2016-01-05,2016-01-05,factor/fatigued-drowsy,FATIGUED/DROWSY,-3.4248108863830566,True,20.0,0.0,103767.35999999999,638.0,STATEN ISLAND
day/2016-01-05,2016-01-05,factor/backing-unsafely,BACKING UNSAFELY,-3.4882991313934326,True,20.0,0.0,103767.35999999999,638.0,STATEN ISLAND
day/2016-01-05,2016-01-05,factor/driver-inexperience,DRIVER INEXPERIENCE,-3.5414443016052246,True,20.0,0.0,103767.35999999999,638.0,STATEN ISLAND
day/2016-01-05,2016-01-05,factor/traffic-control-disregarded,TRAFFIC CONTROL DISREGARDED,-3.5670859813690186,True,20.0,0.0,103767.35999999999,638.0,STATEN ISLAND
day/2016-01-05,2016-01-05,factor/driver-inattention-distraction,DRIVER INATTENTION/DISTRACTION,-3.6189613342285156,True,20.0,0.0,103767.35999999999,638.0,STATEN ISLAND
day/2016-01-06,2016-01-06,factor/backing-unsafely,BACKING UNSAFELY,-3.7132227420806885,True,33.0,0.0,103767.35999999999,623.0,STATEN ISLAND
day/2016-01-06,2016-01-06,factor/failure-to-yield-right-of-way,FAILURE TO YIELD RIGHT-OF-WAY,-3.7611446380615234,True,33.0,0.0,103767.35999999999,623.0,STATEN ISLAND
day/2016-01-06,2016-01-06,factor/outside-car-distraction,OUTSIDE CAR DISTRACTION,-3.886719226837158,True,33.0,0.0,103767.35999999999,623.0,STATEN ISLAND
day/2016-01-06,2016-01-06,factor/lost-consciousness,LOST CONSCIOUSNESS,-3.8893158435821533,True,33.0,0.0,103767.35999999999,623.0,STATEN ISLAND
day/2016-01-06,2016-01-06,factor/alcohol-involvement,ALCOHOL INVOLVEMENT,-3.920626401901245,False,33.0,0.0,103767.35999999999,623.0,STATEN ISLAND
day/2016-01-07,2016-01-07,factor/oversized-vehicle,OVERSIZED VEHICLE,-3.4495558738708496,True,38.5,0.0,103767.35999999999,540.0,UNKNOWN
day/2016-01-07,2016-01-07,factor/physical-disability,PHYSICAL DISABILITY,-3.621004819869995,False,38.5,0.0,103767.35999999999,540.0,UNKNOWN
day/2016-01-07,2016-01-07,factor/alcohol-involvement,ALCOHOL INVOLVEMENT,-3.7447991371154785,False,38.5,0.0,103767.35999999999,540.0,UNKNOWN
day/2016-01-07,2016-01-07,factor/view-obstructed-limited,VIEW OBSTRUCTED/LIMITED,-3.775315284729004,False,38.5,0.0,103767.35999999999,540.0,UNKNOWN
day/2016-01-07,2016-01-07,factor/reaction-to-other-uninvolved-vehicle,REACTION TO OTHER UNINVOLVED VEHICLE,-3.86283278465271,False,38.5,0.0,103767.35999999999,540.0,UNKNOWN
day/2016-01-08,2016-01-08,factor/failure-to-yield-right-of-way,FAILURE TO YIELD RIGHT-OF-WAY,-3.534255266189575,True,38.5,0.0,147003.76000000004,598.0,UNKNOWN
day/2016-01-08,2016-01-08,factor/view-obstructed-limited,VIEW OBSTRUCTED/LIMITED,-3.8714592456817627,False,38.5,0.0,147003.76000000004,598.0,UNKNOWN
day/2016-01-08,2016-01-08,factor/aggressive-driving-road-rage,AGGRESSIVE DRIVING/ROAD RAGE,-4.044056415557861,False,38.5,0.0,147003.76000000004,598.0,UNKNOWN
day/2016-01-08,2016-01-08,factor/pavement-slippery,PAVEMENT SLIPPERY,-4.113178253173828,False,38.5,0.0,147003.76000000004,598.0,UNKNOWN
day/2016-01-08,2016-01-08,factor/alcohol-involvement,ALCOHOL INVOLVEMENT,-4.1866912841796875,False,38.5,0.0,147003.76000000004,598.0,UNKNOWN
day/2016-01-09,2016-01-09,factor/driver-inattention-distraction,DRIVER INATTENTION/DISTRACTION,-3.6586856842041016,True,,,,,
day/2016-01-09,2016-01-09,factor/traffic-control-disregarded,TRAFFIC CONTROL DISREGARDED,-3.7269527912139893,True,,,,,
day/2016-01-09,2016-01-09,factor/view-obstructed-limited,VIEW OBSTRUCTED/LIMITED,-3.77345609664917,False,,,,,
day/2016-01-09,2016-01-09,factor/alcohol-involvement,ALCOHOL INVOLVEMENT,-3.8222086429595947,True,,,,,
day/2016-01-09,2016-01-09,factor/turning-improperly,TURNING IMPROPERLY,-3.834752082824707,True,,,,,
day/2016-01-10,2016-01-10,factor/prescription-medication,PRESCRIPTION MEDICATION,-3.619746446609497,True,49.5,1.8,147281.40000000002,458.0,STATEN ISLAND
day/2016-01-10,2016-01-10,factor/oversized-vehicle,OVERSIZED VEHICLE,-3.677354574203491,False,49.5,1.8,147281.40000000002,458.0,STATEN ISLAND
day/2016-01-10,2016-01-10,factor/reaction-to-other-uninvolved-vehicle,REACTION TO OTHER UNINVOLVED VEHICLE,-3.8745086193084717,False,49.5,1.8,147281.40000000002,458.0,STATEN ISLAND
day/2016-01-10,2016-01-10,factor/following-too-closely,FOLLOWING TOO CLOSELY,-3.9315309524536133,False,49.5,1.8,147281.40000000002,458.0,STATEN ISLAND
day/2016-01-10,2016-01-10,factor/unsafe-lane-changing,UNSAFE LANE CHANGING,-3.96738338470459,False,49.5,1.8,147281.40000000002,458.0,STATEN ISLAND
day/2016-01-11,2016-01-11,factor/traffic-control-disregarded,TRAFFIC CONTROL DISREGARDED,-3.4063236713409424,True,33.0,0.0,117825.12,678.0,BROOKLYN
day/2016-01-11,2016-01-11,factor/outside-car-distraction,OUTSIDE CAR DISTRACTION,-3.5738725662231445,True,33.0,0.0,117825.12,678.0,BROOKLYN
day/2016-01-11,2016-01-11,factor/alcohol-involvement,ALCOHOL INVOLVEMENT,-3.7481184005737305,False,33.0,0.0,117825.12,678.0,BROOKLYN
day/2016-01-11,2016-01-11,factor/passenger-distraction,PASSENGER DISTRACTION,-3.9529716968536377,False,33.0,0.0,117825.12,678.0,BROOKLYN
day/2016-01-11,2016-01-11,factor/brakes-defective,BRAKES DEFECTIVE,-3.9910314083099365,False,33.0,0.0,117825.12,678.0,BROOKLYN
day/2016-01-12,2016-01-12,factor/driver-inattention-distraction,DRIVER INATTENTION/DISTRACTION,-3.7925007343292236,True,,,,,
day/2016-01-12,2016-01-12,factor/backing-unsafely,BACKING UNSAFELY,-3.8401074409484863,True,,,,,
day/2016-01-12,2016-01-12,factor/driver-inexperience,DRIVER INEXPERIENCE,-3.9410481452941895,False,,,,,
day/2016-01-12,2016-01-12,factor/outside-car-distraction,OUTSIDE CAR DISTRACTION,-4.013051509857178,True,,,,,
day/2016-01-12,2016-01-12,factor/pavement-slippery,PAVEMENT SLIPPERY,-4.033517837524414,False,,,,,
