vehicleTypeLabel,adverseWeatherDays,totalVehicleOccurrences,avgPrecipitation,avgSnowFall,avgSnowDepth
PASSENGER VEHICLE,68,52535,0.5554411764705881,0.5161764705882353,1.0294117647058822
SPORT UTILITY/STATION WAGON,57,13955,0.5796491228070173,0.6157894736842106,1.2280701754385965
TAXI,47,2089,0.5582978723404256,0.7468085106382979,1.4893617021276595
OTHER,46,1545,0.5230434782608695,0.6934782608695652,1.4565217391304348
PICK-UP TRUCK,68,1250,0.5554411764705881,0.5161764705882353,1.0294117647058822
SMALL COM VEH(4 TIRES),46,1099,0.5230434782608695,0.6934782608695652,1.4565217391304348
VAN,65,947,0.5695384615384613,0.5338461538461539,1.0769230769230769
BICYCLE,67,804,0.5637313432835819,0.5238805970149254,0.7611940298507462
LARGE COM VEH(6 OR MORE TIRES),40,402,0.48049999999999987,0.7975000000000001,1.675
BUS,20,359,0.45100000000000007,1.5950000000000002,3.35
LIVERY VEHICLE,18,291,0.4666666666666667,1.7722222222222224,3.7222222222222223
MOTORCYCLE,55,283,0.5916363636363635,0.10727272727272728,0.21818181818181817
AMBULANCE,44,136,0.5168181818181818,0.7250000000000001,1.5227272727272727
FIRE TRUCK,16,31,0.509375,1.8375000000000001,3.25
SCOOTER,6,6,0.41500000000000004,0.0,4.5
