factorLabel,weekendOccurrences,weekdayOccurrences,weekendDays,weekdayDays,avgWeekendOccurrencesPerCalendarDay,avgWeekdayOccurrencesPerCalendarDay,weekendMinusWeekdayAvg
DRIVER INATTENTION/DISTRACTION,9999,31301,105,261,95.22857142857142857142857143,119.9272030651340996168582375,-24.69863163656267104542966607
FAILURE TO YIELD RIGHT-OF-WAY,2598,8732,105,261,24.74285714285714285714285714,33.45593869731800766283524904,-8.71308155446086480569239190
FATIGUED/DROWSY,1951,6541,105,261,18.58095238095238095238095238,25.06130268199233716475095785,-6.48035030103995621237000547
FOLLOWING TOO CLOSELY,1868,6231,105,261,17.79047619047619047619047619,23.87356321839080459770114943,-6.08308702791461412151067324
OTHER VEHICULAR,1653,5466,105,261,15.74285714285714285714285714,20.94252873563218390804597701,-5.19967159277504105090311987
BACKING UNSAFELY,1795,5673,105,261,17.09523809523809523809523810,21.73563218390804597701149425,-4.64039408866995073891625615
PASSING OR LANE USAGE IMPROPER,861,3262,105,261,8.2,12.49808429118773946360153257,-4.29808429118773946360153257
ALCOHOL INVOLVEMENT,869,1041,105,261,8.276190476190476190476190476,3.988505747126436781609195402,4.287684729064039408866995074
TURNING IMPROPERLY,1252,4184,105,261,11.92380952380952380952380952,16.03065134099616858237547893,-4.10684181718664477285166941
UNSAFE LANE CHANGING,723,2606,105,261,6.885714285714285714285714286,9.984674329501915708812260536,-3.098960043787629994526546250
OVERSIZED VEHICLE,160,1154,105,261,1.523809523809523809523809524,4.421455938697318007662835249,-2.897646414887794198139025725
LOST CONSCIOUSNESS,942,3027,105,261,8.971428571428571428571428571,11.59770114942528735632183908,-2.626272577996715927750410509
PAVEMENT SLIPPERY,712,1415,105,261,6.780952380952380952380952381,5.421455938697318007662835249,1.359496442255062944718117132
PRESCRIPTION MEDICATION,587,1767,105,261,5.590476190476190476190476190,6.770114942528735632183908046,-1.179638752052545155993431856
VIEW OBSTRUCTED/LIMITED,257,911,105,261,2.447619047619047619047619048,3.490421455938697318007662835,-1.042802408319649698960043787
DRIVER INEXPERIENCE,819,2285,105,261,7.8,8.754789272030651340996168582,-0.954789272030651340996168582
GLARE,117,514,105,261,1.114285714285714285714285714,1.969348659003831417624521073,-0.855062944718117131910235359
REACTION TO OTHER UNINVOLVED VEHICLE,398,1199,105,261,3.790476190476190476190476190,4.593869731800766283524904215,-0.803393541324575807334428025
PHYSICAL DISABILITY,482,991,105,261,4.590476190476190476190476190,3.796934865900383141762452107,0.793541324575807334428024083
OUTSIDE CAR DISTRACTION,375,1136,105,261,3.571428571428571428571428571,4.352490421455938697318007663,-0.781061850027367268746579092
