date,avgTemperature,precipitation,factorLabel,factorOccurrences,vehicleTypeLabel,vehicleOccurrences
2016-01-23,25.5,2.31,PAVEMENT SLIPPERY,129,OTHER,47
2016-01-23,25.5,2.31,PAVEMENT SLIPPERY,129,PASSENGER VEHICLE,324
2016-01-23,25.5,2.31,PAVEMENT SLIPPERY,129,SPORT UTILITY/STATION WAGON,187
2016-01-23,25.5,2.31,OTHER VEHICULAR,40,OTHER,47
2016-01-23,25.5,2.31,OTHER VEHICULAR,40,PASSENGER VEHICLE,324
2016-01-23,25.5,2.31,OTHER VEHICULAR,40,SPORT UTILITY/STATION WAGON,187
2016-01-23,25.5,2.31,DRIVER INATTENTION/DISTRACTION,30,OTHER,47
2016-01-23,25.5,2.31,DRIVER INATTENTION/DISTRACTION,30,PASSENGER VEHICLE,324
2016-01-23,25.5,2.31,DRIVER INATTENTION/DISTRACTION,30,SPORT UTILITY/STATION WAGON,187
2016-01-23,25.5,2.31,FATIGUED/DROWSY,20,OTHER,47
2016-01-23,25.5,2.31,FATIGUED/DROWSY,20,PASSENGER VEHICLE,324
2016-01-23,25.5,2.31,FATIGUED/DROWSY,20,SPORT UTILITY/STATION WAGON,187
2016-11-29,55.5,2.2,DRIVER INATTENTION/DISTRACTION,203,PASSENGER VEHICLE,620
2016-11-29,55.5,2.2,DRIVER INATTENTION/DISTRACTION,203,PICK-UP TRUCK,54
2016-11-29,55.5,2.2,DRIVER INATTENTION/DISTRACTION,203,SPORT UTILITY/STATION WAGON,409
2016-11-29,55.5,2.2,DRIVER INATTENTION/DISTRACTION,203,TAXI,68
2016-11-29,55.5,2.2,FOLLOWING TOO CLOSELY,79,PASSENGER VEHICLE,620
2016-11-29,55.5,2.2,FOLLOWING TOO CLOSELY,79,PICK-UP TRUCK,54
2016-11-29,55.5,2.2,FOLLOWING TOO CLOSELY,79,SPORT UTILITY/STATION WAGON,409
2016-11-29,55.5,2.2,FOLLOWING TOO CLOSELY,79,TAXI,68
